"","country","country_code","test","case"
"35","Iran","IRN",2566107,336165
"78","Spain","ESP",3880073,335021
"89","United Kingdom","GBR",11106266,315064
"70","Saudi Arabia","SAU",3633486,294396
"59","Pakistan","PAK",2230260,287305
"5","Bangladesh","BGD",1262262,268939
"1","Argentina","ARG",808885,268211
"39","Italy","ITA",3345971,252310
"85","Turkey","TUR",5505520,245702
"28","Germany","DEU",8797949,221069
"27","France","FRA",4053328,209897
"36","Iraq","IRQ",1192184,164745
"63","Philippines","PHL",1490482,148620
"34","Indonesia","IDN",1023467,133115
"11","Canada","CAN",4551803,121173
"41","Kazakhstan","KAZ",2195128,118195
"66","Qatar","QAT",529518,114289
"21","Ecuador","ECU",213832,98215
"8","Bolivia","BOL",186224,95870
"38","Israel","ISR",1909591,89546
"87","Ukraine","UKR",1220718,87444
"79","Sweden","SWE",339602,83755
"58","Oman","OMN",183290,82499
"60","Panama","PAN",250370,78534
"7","Belgium","BEL",1942353,77436
"43","Kuwait","KWT",307620,74415
"6","Belarus","BLR",1359323,69233
"67","Romania","ROU",1429115,66574
"88","United Arab Emirates","ARE",5772400,63565
"54","Netherlands","NLD",1121786,61135
"73","Singapore","SGP",620491,55504
"64","Poland","POL",1887983,54522
"65","Portugal","PRT",1757305,53489
"40","Japan","JPN",1387663,51850
"56","Nigeria","NGA",337752,48043
"4","Bahrain","BHR",938389,45590
"29","Ghana","GHA",421132,41857
"51","Morocco","MAR",1516399,38093
"80","Switzerland","CHE",863343,37323
"72","Serbia","SRB",779895,28998
"42","Kenya","KEN",358653,28646
"37","Ireland","IRL",673615,26982
"24","Ethiopia","ETH",414327,26444
"14","Costa Rica","CRI",97636,26104
"53","Nepal","NPL",484180,24982
"3","Austria","AUT",999518,22735
"2","Australia","AUS",4899700,22380
"22","El Salvador","SLV",258736,21947
"18","Czech Republic","CZE",775814,19336
"15","Cote d'Ivoire","CIV",107061,16906
"20","Denmark","DNK",1770607,15220
"77","South Korea","KOR",1644353,14984
"10","Bulgaria","BGR",297852,14029
"71","Senegal","SEN",128758,11733
"57","Norway","NOR",484623,9772
"19","Democratic Republic of Congo","COD",27343,9576
"47","Malaysia","MYS",1083841,9144
"61","Paraguay","PRY",140756,8490
"26","Finland","FIN",458270,7719
"46","Luxembourg","LUX",452060,7383
"30","Greece","GRC",679677,6416
"16","Croatia","HRV",133210,6086
"48","Maldives","MDV",91327,5471
"93","Zimbabwe","ZWE",64604,4994
"31","Hungary","HUN",372131,4817
"82","Thailand","THA",386746,3402
"17","Cuba","CUB",313711,3189
"74","Slovakia","SVK",284702,2749
"75","Slovenia","SVN",131948,2355
"45","Lithuania","LTU",569414,2338
"69","Rwanda","RWA",296013,2260
"23","Estonia","EST",130758,2203
"32","Iceland","ISL",80256,1982
"84","Tunisia","TUN",105413,1876
"91","Uruguay","URY",135856,1422
"86","Uganda","UGA",100891,1377
"44","Latvia","LVA",221972,1309
"55","New Zealand","NZL",535559,1264
"49","Malta","MLT",147757,1127
"83","Togo","TGO",49711,1104
"92","Vietnam","VNM",216181,912
"81","Taiwan","TWN",84201,482
"52","Myanmar","MMR",122126,368
"25","Fiji","FJI",7503,28
