country,country_code,test,case
Argentina,ARG,808885,268211
Australia,AUS,4899700,22380
Austria,AUT,999518,22735
Bahrain,BHR,938389,45590
Bangladesh,BGD,1262262,268939
Belarus,BLR,1359323,69233
Belgium,BEL,1942353,77436
Bolivia,BOL,186224,95870
Brazil,BRA,793040,3212796
Bulgaria,BGR,297852,14029
Canada,CAN,4551803,121173
Chile,CHL,1890223,380265
Colombia,COL,2023319,433522
Costa Rica,CRI,97636,26104
Cote d'Ivoire,CIV,107061,16906
Croatia,HRV,133210,6086
Cuba,CUB,313711,3189
Czech Republic,CZE,775814,19336
Democratic Republic of Congo,COD,27343,9576
Denmark,DNK,1770607,15220
Ecuador,ECU,213832,98215
El Salvador,SLV,258736,21947
Estonia,EST,130758,2203
Ethiopia,ETH,414327,26444
Fiji,FJI,7503,28
Finland,FIN,458270,7719
France,FRA,4053328,209897
Germany,DEU,8797949,221069
Ghana,GHA,421132,41857
Greece,GRC,679677,6416
Hungary,HUN,372131,4817
Iceland,ISL,80256,1982
India,IND,27668463,2459961
Indonesia,IDN,1023467,133115
Iran,IRN,2566107,336165
Iraq,IRQ,1192184,164745
Ireland,IRL,673615,26982
Israel,ISR,1909591,89546
Italy,ITA,3345971,252310
Japan,JPN,1387663,51850
Kazakhstan,KAZ,2195128,118195
Kenya,KEN,358653,28646
Kuwait,KWT,307620,74415
Latvia,LVA,221972,1309
Lithuania,LTU,569414,2338
Luxembourg,LUX,452060,7383
Malaysia,MYS,1083841,9144
Maldives,MDV,91327,5471
Malta,MLT,147757,1127
Mexico,MEX,1058991,504830
Morocco,MAR,1516399,38093
Myanmar,MMR,122126,368
Nepal,NPL,484180,24982
Netherlands,NLD,1121786,61135
New Zealand,NZL,535559,1264
Nigeria,NGA,337752,48043
Norway,NOR,484623,9772
Oman,OMN,183290,82499
Pakistan,PAK,2230260,287305
Panama,PAN,250370,78534
Paraguay,PRY,140756,8490
Peru,PER,363793,508205
Philippines,PHL,1490482,148620
Poland,POL,1887983,54522
Portugal,PRT,1757305,53489
Qatar,QAT,529518,114289
Romania,ROU,1429115,66574
Russia,RUS,31856860,907753
Rwanda,RWA,296013,2260
Saudi Arabia,SAU,3633486,294396
Senegal,SEN,128758,11733
Serbia,SRB,779895,28998
Singapore,SGP,620491,55504
Slovakia,SVK,284702,2749
Slovenia,SVN,131948,2355
South Africa,ZAF,3326681,574525
South Korea,KOR,1644353,14984
Spain,ESP,3880073,335021
Sweden,SWE,339602,83755
Switzerland,CHE,863343,37323
Taiwan,TWN,84201,482
Thailand,THA,386746,3402
Togo,TGO,49711,1104
Tunisia,TUN,105413,1876
Turkey,TUR,5505520,245702
Uganda,UGA,100891,1377
Ukraine,UKR,1220718,87444
United Arab Emirates,ARE,5772400,63565
United Kingdom,GBR,11106266,315064
United States,USA,64662741,5251215
Uruguay,URY,135856,1422
Vietnam,VNM,216181,912
Zimbabwe,ZWE,64604,4994
