country,country_code,gdp,educ,population
Albania,ALB,6761.288,10.20333,3054666.7
Algeria,DZA,10440.45,6.496666,33389667
Argentina,ARG,13691.1,9.453333,38886667
Australia,AUS,40263.52,11.59,20441667
Austria,AUT,37455.05,9.816667,8244333.3
Bangladesh,BGD,1761.015,5.5,1.38E+08
Barbados,BRB,17776.61,9.403333,276666.67
Belgium,BEL,33947.04,11.11667,10589333
Belize,BLZ,6721.201,8.856667,284333.33
Benin,BEN,1788.265,3.91,8015666.7
Bolivia,BOL,3777.616,8.69,9233000
Brazil,BRA,10292.5,7.533333,1.86E+08
Bulgaria,BGR,11766.35,10.44333,7703333.3
Cambodia,KHM,1819.736,4.28,13246667
Cameroon,CMR,2573.743,6.076667,17862667
Canada,CAN,39526.09,12.20667,32300000
Chile,CHL,13938.84,9.906667,16196000
China,CHN,6511.952,8.02,1.33E+09
Colombia,COL,8397.911,8.01,42500333
Costa Rica,CRI,10663.09,8.303333,4275000
Cote d'Ivoire,CIV,2153.798,4.503333,18447667
Cyprus,CYP,26446.76,10.92333,1028000
Czech Republic,CZE,23091.18,12.79667,10361333
Democratic Republic of Congo,COD,570.4344,3.646667,55485333
Denmark,DNK,38273.77,11.76,5439333.3
Dominican Republic,DOM,9101.108,7.563334,9087666.7
Ecuador,ECU,7119.656,7.71,13839333
Egypt,EGY,6507.089,6.89,75705667
El Salvador,SLV,5274.578,7.726667,6041333.3
Fiji,FJI,6024.146,10.02667,831000
Finland,FIN,35426.53,10.34333,5271000
France,FRA,33563.73,10.80667,61005000
Gambia,GMB,2800.79,3.36,1551666.7
Germany,DEU,37034,11.71667,81277000
Ghana,GHA,3409.083,7.226666,21958000
Greece,GRC,24883.04,10.73667,11065000
Guatemala,GTM,5626.512,4.63,13125667
Haiti,HTI,1791.161,4.836667,9202666.7
Honduras,HND,3575.932,6.236667,7450333.3
Hong Kong,HKG,40824.22,11.58,6780666.7
Hungary,HUN,17730.22,11.81333,10078000
Iceland,ISL,37164.71,10.78333,298333.33
India,IND,3040.268,5.943334,1.15E+09
Indonesia,IDN,4966.276,6.703333,2.27E+08
Iran,IRN,12894.7,8.433333,69716000
Iraq,IRQ,5945.918,6.753333,26720667
Ireland,IRL,44557.07,11.76,4159333.3
Italy,ITA,33256.53,10.21333,58099333
Jamaica,JAM,6002.313,10.00333,2735000
Japan,JPN,35803.27,12.11,1.28E+08
Jordan,JOR,6155.893,9.456667,6050000
Kenya,KEN,2139.308,6.286666,36873667
Kuwait,KWT,57999.09,6.216667,2435666.7
Lesotho,LSO,2553.05,6.553333,2008333.3
Liberia,LBR,873.2262,3.97,3319000
Luxembourg,LUX,57158.03,10.61333,467333.33
Malawi,MWI,969.2292,4.47,12771667
Malaysia,MYS,14960.68,10.18,25697667
Mali,MLI,1454.134,1.75,12923667
Malta,MLT,22204.95,10.69667,404333.33
Mauritius,MUS,14448.3,8.223333,1218333.3
Mexico,MEX,13711.18,8.68,1.06E+08
Morocco,MAR,5108.208,4.663333,30531000
Mozambique,MOZ,859.3215,1.5,20579333
Myanmar,MMR,2100.979,4.483334,48757000
Nepal,NPL,1565.06,3.77,25566333
Netherlands,NLD,41314.77,11.33333,16325333
New Zealand,NZL,28596.85,11.7,4121333.3
Nicaragua,NIC,3795.783,6.266667,5444000
Niger,NER,751.9882,1.666667,13806667
Norway,NOR,63228.45,11.70667,4672333.3
Pakistan,PAK,3366.732,4.72,1.61E+08
Panama,PAN,12326.06,9.49,3334333.3
Paraguay,PRY,5334.83,7.523333,5798333.3
Peru,PER,6774.932,9.403334,27784667
Philippines,PHL,4592.186,8.293333,86095000
Poland,POL,16653.24,11.24,38418667
Portugal,PRT,23911.3,8.413333,10467000
Romania,ROU,11811.59,10.79333,21342000
Russia,RUS,14722.38,11.77333,1.45E+08
Senegal,SEN,2551.926,2.253333,11188667
Serbia,SRB,9528.559,10.54667,9224333.3
Sierra Leone,SLE,1035.945,3.513333,5549000
South Africa,ZAF,10143.7,8.89,48022000
South Korea,KOR,27045.99,12.34333,48542000
Spain,ESP,28702.25,10.34667,43925000
Sri Lanka,LKA,6059.579,10.75667,19528333
Sudan,SDN,2656.122,3.296667,30923333
Swaziland,SWZ,7290.87,4.863333,1033666.7
Sweden,SWE,37653.95,11.84333,9103666.7
Switzerland,CHE,47467.99,11.29333,7446666.7
Syria,SYR,4235.226,5.993333,18711667
Taiwan,TWN,34941.66,11.23,22620333
Thailand,THA,9655.814,7.34,65188000
Togo,TGO,1249.112,5.526667,5652666.7
Trinidad and Tobago,TTO,20443.63,10.31667,1297000
Tunisia,TUN,9209.924,7.176667,10150000
Turkey,TUR,14256.6,6.89,67823333
Uganda,UGA,1409.238,5.18,27921000
United Kingdom,GBR,33905.91,11.33333,60890333
United States,USA,48277.13,13.11667,2.95E+08
Uruguay,URY,12199.95,8.49,3333666.7
Venezuela,VEN,11510.21,7.863333,26354667
Yemen,YEM,2993.651,3.136667,20223667
Zambia,ZMB,1867.556,6.78,11959333
Zimbabwe,ZWE,1759.275,7.59,12218667
