sat,scholarship,gpa
840,0,1.5600001
840,0,1.9760001
1410,0,2.352
630,0,1.3199999
1230,0,2.0079999
2240,1,3.49
1450,1,2.3840001
730,0,1.9200001
1630,0,2.3200002
1740,0,1.9360001
760,1,1.9120001
1600,0,2.4000001
2020,0,2.152
1000,1,2.3280001
1350,0,1.776
1050,0,2.0479999
1120,0,1.984
2050,0,2.016
1450,0,1.72
1080,0,1.7440001
1110,0,1.952
1950,0,2.1200001
1420,0,1.784
1150,0,2.1600001
1180,0,2.112
800,0,2.168
810,1,2.2160001
720,0,2.0320001
1850,0,2.1600001
1770,0,1.8959999
2030,0,1.9200001
1310,1,1.992
1550,0,2.8
1320,0,2.04
940,0,1.9200001
1680,0,2.1200001
2200,1,3.1400001
1270,0,1.816
660,0,1.8879999
1110,0,1.816
2200,1,3.1800001
1070,0,2.2319999
1540,0,1.816
630,0,1.992
1510,0,1.76
2400,1,2.8599999
1700,0,1.872
2280,1,3.26
2170,1,3.27
890,0,2.2
2040,0,2.2160001
1490,0,1.7440001
1590,0,1.96
1910,0,2.1360002
620,0,1.8959999
1410,0,1.784
930,0,1.984
700,0,1.944
940,0,1.7120001
620,0,1.76
750,0,1.632
600,0,2.3040001
840,0,1.904
1010,0,2.1600001
2240,0,2.8299999
1640,0,2.1200001
2270,1,2.95
640,0,1.6639999
1980,0,2.128
1950,0,1.776
1980,0,1.8799999
2380,0,2.6500001
1620,0,2.096
1470,0,1.9200001
1040,0,1.64
2340,1,3.1800001
1790,0,2.1600001
1570,0,1.9120001
1680,0,2.2479999
1630,0,2.096
1840,0,1.576
1900,0,2.2479999
1430,0,1.8879999
1750,0,1.776
2000,0,1.8559999
2220,1,3.1099999
1810,0,1.7040001
1250,0,1.8
620,0,1.6639999
850,0,1.984
1490,0,2.52
1910,0,2.1040001
2010,0,2.352
1090,0,2.2479999
850,0,2.1600001
1990,0,2.2319999
1450,0,2.3040001
2340,1,3.48
2210,1,2.8199999
1830,0,2.4159999
1750,0,1.6719999
2190,1,2.97
1980,0,2.0079999
670,0,1.9200001
2160,1,2.5999999
1080,0,1.4
2320,1,2.8299999
720,0,1.944
1120,0,2.1440001
1340,0,1.7360001
1890,0,2.224
1770,0,1.8399999
1660,0,2.424
770,0,1.7440001
780,0,1.872
1020,0,1.8879999
1860,0,1.9360001
1230,0,1.5600001
1490,0,2.096
1800,0,1.8399999
1800,0,2.352
1150,0,1.8
1000,0,2.3200002
2050,0,1.6959999
1930,0,2.3600001
870,0,1.632
